# temp,rain_1h,snow_1h,clouds_all,Prediction
2.927099999999999795e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.976498722604959767e+03
2.922799999999999727e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,6.077842712075766030e+03
2.899200000000000159e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.728010268118674503e+03
2.877699999999999818e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.506030539225211214e+03
2.874700000000000273e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.935437025994584474e+03
2.876000000000000227e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,6.608077206037091855e+03
2.861399999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.785765167108919741e+03
2.842599999999999909e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.576556225454301966e+03
2.743999999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.147793610614774479e+03
2.945099999999999909e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.188483876384047107e+03
2.949399999999999977e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.618405918301066777e+03
2.872799999999999727e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.842493839527915952e+03
2.840699999999999932e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,6.486972073737007122e+03
2.889399999999999977e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.971547934605099726e+03
2.896100000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.968825950090767947e+03
2.898299999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.807733399330267275e+03
2.887900000000000205e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,6.469237196659627443e+03
2.807200000000000273e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.396484793126950535e+03
2.841499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.734898654402777538e+03
2.828899999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.863724299820412853e+03
2.822200000000000273e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.591742873656699885e+03
2.795000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.013919870035279928e+03
2.803700000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.092184256781528120e+02
2.894399999999999977e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.228067982078201226e+02
2.770799999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.898839406641415962e+03
2.764900000000000091e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,7.413242769562364174e+02
2.817900000000000205e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.646786211547550920e+03
2.845000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.710763711628846067e+03
2.876800000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.849908711751827468e+03
2.790199999999999818e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,7.314498203131940954e+02
2.778600000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.358387058468653777e+03
2.730899999999999750e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,9.258926607689809316e+02
2.739900000000000091e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.562592319602214957e+03
2.661499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.042010118607229742e+03
2.664300000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.862150868183624652e+02
2.663600000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,6.498445322723647450e+02
2.658399999999999750e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.382720759544154134e+02
2.657699999999999818e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,9.701408760230648340e+02
2.678600000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.519767205215668582e+03
2.709300000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.163403770775276826e+03
2.728399999999999750e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.886644111133130991e+03
2.800799999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.691422373826721923e+03
2.705099999999999909e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.923792676291475914e+02
2.725299999999999727e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.326265958179975314e+03
2.801499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.825644927007779188e+03
2.751499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.599806625471883308e+02
2.658700000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.429421398787000726e+03
2.665799999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.309752950725905066e+03
2.669300000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.271648759330146277e+02
2.795400000000000205e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.693007478198235731e+03
2.750199999999999818e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.837879142828846284e+02
2.621499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.234912413463265693e+03
2.654599999999999795e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.378633409054477852e+03
2.664599999999999795e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.776050784608941285e+03
2.767599999999999909e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.206958279523992132e+03
2.738199999999999932e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.760495332823575154e+03
2.689300000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.913928296570539715e+03
2.688299999999999841e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.921670695780268943e+03
2.676100000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.032133630274845473e+03
2.681100000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,4.669064775539736729e+03
2.678600000000000136e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,5.317249953292739519e+03
